0,1,2,3,4,5,6
2021.07.10 01:13,海南,境外输入,19,0,18,0
2021.07.10 01:13,河北,张家口,43,0,43,0
2021.07.10 01:13,河北,保定,34,0,34,0
2021.07.10 01:13,河北,邢台,94,0,93,1
2021.07.10 01:13,河北,沧州,49,0,46,3
2021.07.10 01:13,河北,石家庄,898,0,897,1
2021.07.10 01:13,河北,承德,7,0,7,0
2021.07.10 01:13,河北,廊坊,33,0,33,0
2021.07.10 01:13,河北,邯郸,32,0,32,0
2021.07.10 01:13,河北,衡水,8,0,8,0
2021.07.10 01:13,河北,唐山,58,0,57,1
2021.07.10 01:13,河北,秦皇岛,10,0,9,1
2021.07.10 01:13,河北,境外输入,36,0,36,0
2021.07.10 01:13,河北,定州,2,0,2,0
2021.07.10 01:13,河北,雄安新区,13,0,13,0
2021.07.10 01:13,陕西,榆林,3,0,3,0
2021.07.10 01:13,陕西,西安,121,0,118,3
2021.07.10 01:13,陕西,咸阳,17,0,17,0
2021.07.10 01:13,陕西,商洛,7,0,7,0
2021.07.10 01:13,陕西,安康,26,0,26,0
2021.07.10 01:13,陕西,延安,8,0,8,0
2021.07.10 01:13,陕西,韩城,1,0,1,0
2021.07.10 01:13,陕西,汉中,26,0,26,0
2021.07.10 01:13,陕西,宝鸡,13,0,13,0
2021.07.10 01:13,陕西,渭南,17,0,17,0
2021.07.10 01:13,陕西,铜川,8,0,8,0
2021.07.10 01:13,陕西,杨凌示范区,1,0,1,0
2021.07.10 01:13,陕西,境外输入,383,0,376,0
2021.07.10 01:13,云南,丽江,7,0,7,0
2021.07.10 01:13,云南,红河州,9,0,9,0
2021.07.10 01:13,云南,大理州,13,0,13,0
2021.07.10 01:13,云南,保山,9,0,9,0
2021.07.10 01:13,云南,昭通,25,0,25,0
2021.07.10 01:13,云南,德宏州,129,8,98,0
2021.07.10 01:13,云南,曲靖,13,0,13,0
2021.07.10 01:13,云南,西双版纳傣族自治州,15,0,14,1
2021.07.10 01:13,云南,玉溪,14,0,13,1
2021.07.10 01:13,云南,普洱,4,0,4,0
2021.07.10 01:13,云南,昆明,53,0,53,0
2021.07.10 01:13,云南,临沧,1,0,1,0
2021.07.10 01:13,云南,楚雄州,4,0,4,0
2021.07.10 01:13,云南,文山,2,0,2,0
